main_step,sub_step_number,sub_step_name,sub_step_description,estimated_time_minutes,requires_judgment,requires_system_access,requires_external_data,status,assigned_to
Confirm marketplace sales match payouts,8.1,Access marketplace dashboard,Log into marketplace seller account,2,No,Yes,No,Not Started,Pip
Confirm marketplace sales match payouts,8.2,Download sales report,Export detailed sales and payout report,3,No,Yes,No,Not Started,Pip
Confirm marketplace sales match payouts,8.3,Match to internal records,Compare marketplace data to internal sales records,15,Yes,No,No,Not Started,Human
Confirm marketplace sales match payouts,8.4,Investigate differences,Look into any discrepancies between systems,20,Yes,No,No,Not Started,Human
Confirm marketplace sales match payouts,8.5,Update reconciliation,Record final reconciliation status,5,No,Yes,No,Not Started,Pip
Review and approve manual order adjustments,9.1,Access adjustment log,Open system log of manual order adjustments,2,No,Yes,No,Not Started,Pip
Review and approve manual order adjustments,9.2,Verify authorization,Check approval documentation for each adjustment,10,Yes,No,No,Not Started,Human
Review and approve manual order adjustments,9.3,Review impact,Analyze financial impact of adjustments,15,Yes,No,No,Not Started,Human
Review and approve manual order adjustments,9.4,Document approval,Record approval or rejection of adjustments,5,Yes,No,No,Not Started,Human
Review and approve manual order adjustments,9.5,Update records,Process approved adjustments in system,10,No,Yes,No,Not Started,Pip
Finalize daily revenue journal entry,10.1,Compile revenue data,Gather all revenue-related data and calculations,10,No,No,No,Not Started,Pip
Finalize daily revenue journal entry,10.2,Prepare journal entry,Draft revenue journal entry with proper accounts,15,Yes,No,No,Not Started,Human
Finalize daily revenue journal entry,10.3,Review for accuracy,Verify all amounts and account mappings,10,Yes,No,No,Not Started,Human
Finalize daily revenue journal entry,10.4,Obtain approval,Get required approval for journal entry,5,Yes,No,No,Not Started,Human
Finalize daily revenue journal entry,10.5,Post to general ledger,Enter approved journal entry into accounting system,5,No,Yes,No,Not Started,Pip
Update inventory quantities,11.1,Access inventory system,Log into inventory management system,2,No,Yes,No,Not Started,Pip
Update inventory quantities,11.2,Review daily changes,Check all inventory movements from previous day,15,Yes,No,No,Not Started,Human
Update inventory quantities,11.3,Verify adjustments,Confirm all inventory adjustments are valid,10,Yes,No,No,Not Started,Human
Update inventory quantities,11.4,Update records,Enter approved adjustments into system,10,No,Yes,No,Not Started,Pip
Update inventory quantities,11.5,Generate report,Create inventory movement summary report,5,No,Yes,No,Not Started,Pip
Calculate COGS,12.1,Gather sales data,Collect previous day's sales by SKU,5,No,No,No,Not Started,Pip
Calculate COGS,12.2,Retrieve cost data,Get current cost information for all SKUs,10,No,Yes,No,Not Started,Pip
Calculate COGS,12.3,Calculate COGS,Compute COGS using appropriate costing method,15,Yes,No,No,Not Started,Human
Calculate COGS,12.4,Review calculations,Verify COGS calculations for accuracy,10,Yes,No,No,Not Started,Human
Calculate COGS,12.5,Document assumptions,Record any assumptions made in calculations,5,Yes,No,No,Not Started,Human
Reconcile dropshipping fees,13.1,Access vendor portals,Log into dropshipping vendor accounts,5,No,Yes,No,Not Started,Pip
Reconcile dropshipping fees,13.2,Download fee reports,Export fee reports from all vendors,10,No,Yes,No,Not Started,Pip
Reconcile dropshipping fees,13.3,Match to orders,Verify fees against actual orders,15,Yes,No,No,Not Started,Human
Reconcile dropshipping fees,13.4,Investigate discrepancies,Look into any fee calculation differences,20,Yes,No,No,Not Started,Human
Reconcile dropshipping fees,13.5,Update accounting records,Record verified fees in accounting system,10,No,Yes,No,Not Started,Pip
Process inventory transfers,14.1,Review transfer requests,Check all inventory transfer requests,10,Yes,No,No,Not Started,Human
Process inventory transfers,14.2,Verify authorization,Confirm proper approval for transfers,5,Yes,No,No,Not Started,Human
Process inventory transfers,14.3,Update locations,Record transfers in inventory system,10,No,Yes,No,Not Started,Pip
Process inventory transfers,14.4,Document transfers,Create transfer documentation,5,Yes,No,No,Not Started,Human
Process inventory transfers,14.5,Confirm completion,Verify transfers were processed correctly,5,Yes,No,No,Not Started,Human
Process inventory adjustments,15.1,Review cycle count reports,Analyze daily cycle count results,15,Yes,No,No,Not Started,Human
Process inventory adjustments,15.2,Verify counts,Confirm physical count accuracy,20,Yes,No,No,Not Started,Human
Process inventory adjustments,15.3,Investigate variances,Look into significant count differences,25,Yes,No,No,Not Started,Human
Process inventory adjustments,15.4,Prepare adjustments,Document required inventory adjustments,10,Yes,No,No,Not Started,Human
Process inventory adjustments,15.5,Process adjustments,Enter approved adjustments into system,10,No,Yes,No,Not Started,Pip
Calculate shipping costs,16.1,Gather shipping data,Collect all shipping transactions,5,No,No,No,Not Started,Pip
Calculate shipping costs,16.2,Retrieve carrier rates,Get current shipping rates from carriers,10,No,Yes,No,Not Started,Pip
Calculate shipping costs,16.3,Calculate costs,Compute actual shipping costs,15,Yes,No,No,Not Started,Human
Calculate shipping costs,16.4,Review calculations,Verify shipping cost calculations,10,Yes,No,No,Not Started,Human
Calculate shipping costs,16.5,Update records,Record shipping costs in accounting system,5,No,Yes,No,Not Started,Pip
Update inventory reserve,17.1,Review inventory aging,Analyze inventory aging report,15,Yes,No,No,Not Started,Human
Update inventory reserve,17.2,Check sales velocity,Review sales patterns for slow-moving items,10,Yes,No,No,Not Started,Human
Update inventory reserve,17.3,Assess condition,Evaluate physical condition of inventory,20,Yes,No,No,Not Started,Human
Update inventory reserve,17.4,Calculate reserve,Determine appropriate reserve amount,15,Yes,No,No,Not Started,Human
Update inventory reserve,17.5,Update accounting records,Record inventory reserve adjustment,5,No,Yes,No,Not Started,Pip
Verify marketplace fees,18.1,Access marketplace accounts,Log into all marketplace seller accounts,5,No,Yes,No,Not Started,Pip
Verify marketplace fees,18.2,Download fee reports,Export detailed fee reports,10,No,Yes,No,Not Started,Pip
Verify marketplace fees,18.3,Review fee calculations,Analyze fee calculations for accuracy,15,Yes,No,No,Not Started,Human
Verify marketplace fees,18.4,Document discrepancies,Record any fee calculation issues,10,Yes,No,No,Not Started,Human
Verify marketplace fees,18.5,Update records,Record verified fees in accounting system,5,No,Yes,No,Not Started,Pip
Review shrinkage reports,19.1,Access shrinkage data,Open daily shrinkage report,2,No,Yes,No,Not Started,Pip
Review shrinkage reports,19.2,Analyze patterns,Look for patterns in shrinkage incidents,15,Yes,No,No,Not Started,Human
Review shrinkage reports,19.3,Investigate causes,Determine root causes of shrinkage,20,Yes,No,No,Not Started,Human
Review shrinkage reports,19.4,Document findings,Record investigation results,10,Yes,No,No,Not Started,Human
Review shrinkage reports,19.5,Update procedures,Recommend process improvements,15,Yes,No,No,Not Started,Human
Finalize COGS journal entry,20.1,Compile COGS data,Gather all COGS-related calculations,10,No,No,No,Not Started,Pip
Finalize COGS journal entry,20.2,Prepare journal entry,Draft COGS journal entry,15,Yes,No,No,Not Started,Human
Finalize COGS journal entry,20.3,Review for accuracy,Verify all amounts and calculations,10,Yes,No,No,Not Started,Human
Finalize COGS journal entry,20.4,Obtain approval,Get required approval for journal entry,5,Yes,No,No,Not Started,Human
Finalize COGS journal entry,20.5,Post to general ledger,Enter approved journal entry into system,5,No,Yes,No,Not Started,Pip
Accrue daily portion of marketing spend,1,Access marketing platforms,Log into all marketing platform dashboards,5,No,Yes,No,Not Started,Pip
Accrue daily portion of marketing spend,2,Download spend reports,Export daily spend reports from each platform,10,No,Yes,No,Not Started,Pip
Accrue daily portion of marketing spend,3,Allocate by channel,Distribute spend across marketing channels,15,Yes,No,No,Not Started,Human
Accrue daily portion of marketing spend,4,Verify allocations,Check allocation accuracy and completeness,10,Yes,No,No,Not Started,Human
Accrue daily portion of marketing spend,5,Update accounting records,Record marketing accruals in system,5,No,Yes,No,Not Started,Pip
Record platform and subscription fees,1,Review active subscriptions,List all active platform subscriptions,10,Yes,No,No,Not Started,Pip
Record platform and subscription fees,2,Calculate daily portion,Compute daily allocation of monthly fees,15,Yes,No,No,Not Started,Human
Record platform and subscription fees,3,Verify calculations,Check accuracy of daily allocations,10,Yes,No,No,Not Started,Human
Record platform and subscription fees,4,Document methodology,Record allocation methodology used,5,Yes,No,No,Not Started,Human
Record platform and subscription fees,5,Update accounting records,Record subscription accruals in system,5,No,Yes,No,Not Started,Pip
Update fulfillment and warehouse costs,1,Access warehouse systems,Log into warehouse management system,2,No,Yes,No,Not Started,Pip
Update fulfillment and warehouse costs,2,Download cost reports,Export daily warehouse cost data,5,No,Yes,No,Not Started,Pip
Update fulfillment and warehouse costs,3,Allocate costs,Distribute costs across appropriate categories,15,Yes,No,No,Not Started,Human
Update fulfillment and warehouse costs,4,Review allocations,Verify cost allocation accuracy,10,Yes,No,No,Not Started,Human
Update fulfillment and warehouse costs,5,Update accounting records,Record warehouse cost accruals,5,No,Yes,No,Not Started,Pip
Process one-time expenses,1,Review approved invoices,Check all approved invoices from previous day,15,Yes,No,No,Not Started,Pip
Process one-time expenses,2,Verify documentation,Confirm all required approvals are present,10,Yes,No,No,Not Started,Human
Process one-time expenses,3,Code expenses,Assign proper GL codes to expenses,15,Yes,No,No,Not Started,Pip
Process one-time expenses,4,Review coding,Verify GL code accuracy,10,Yes,No,No,Not Started,Human
Process one-time expenses,5,Update accounting records,Record expenses in accounting system,5,No,Yes,No,Not Started,Pip
Accrue daily payroll expenses,1,Access payroll system,Log into payroll management system,2,No,Yes,No,Not Started,Pip
Accrue daily payroll expenses,2,Calculate daily portion,Compute daily allocation of payroll costs,15,Yes,No,No,Not Started,Human
Accrue daily payroll expenses,3,Include benefits,Add daily portion of benefits costs,10,Yes,No,No,Not Started,Human
Accrue daily payroll expenses,4,Verify calculations,Check accuracy of payroll accruals,10,Yes,No,No,Not Started,Human
Accrue daily payroll expenses,5,Update accounting records,Record payroll accruals in system,5,No,Yes,No,Not Started,Pip
Update commission accruals,1,Access sales data,Retrieve previous day's sales data,5,No,Yes,No,Not Started,Pip
Update commission accruals,2,Apply commission rules,Calculate commissions based on rules,15,Yes,No,No,Not Started,Human
Update commission accruals,3,Verify calculations,Check commission calculation accuracy,10,Yes,No,No,Not Started,Human
Update commission accruals,4,Document exceptions,Note any special commission arrangements,5,Yes,No,No,Not Started,Human
Update commission accruals,5,Update accounting records,Record commission accruals in system,5,No,Yes,No,Not Started,Pip
Record daily technology costs,1,Access cloud platforms,Log into cloud service dashboards,5,No,Yes,No,Not Started,Pip
Record daily technology costs,2,Download usage reports,Export daily usage and cost data,10,No,Yes,No,Not Started,Pip
Record daily technology costs,3,Allocate costs,Distribute costs across departments,15,Yes,No,No,Not Started,Human
Record daily technology costs,4,Verify allocations,Check allocation accuracy,10,Yes,No,No,Not Started,Human
Record daily technology costs,5,Update accounting records,Record technology cost accruals,5,No,Yes,No,Not Started,Pip
Allocate customer service expenses,1,Access service systems,Log into customer service platforms,2,No,Yes,No,Not Started,Pip
Allocate customer service expenses,2,Download activity reports,Export daily service metrics and costs,5,No,Yes,No,Not Started,Pip
Allocate customer service expenses,3,Calculate allocations,Determine cost allocation methodology,15,Yes,No,No,Not Started,Human
Allocate customer service expenses,4,Review methodology,Verify allocation approach,10,Yes,No,No,Not Started,Human
Allocate customer service expenses,5,Update accounting records,Record service cost allocations,5,No,Yes,No,Not Started,Pip
Update accruals for recurring services,1,Review service contracts,Check all active service agreements,15,Yes,No,No,Not Started,Pip
Update accruals for recurring services,2,Calculate daily portion,Compute daily allocation of service costs,10,Yes,No,No,Not Started,Human
Update accruals for recurring services,3,Verify calculations,Check accuracy of service accruals,10,Yes,No,No,Not Started,Human
Update accruals for recurring services,4,Document methodology,Record allocation approach used,5,Yes,No,No,Not Started,Human
Update accruals for recurring services,5,Update accounting records,Record service accruals in system,5,No,Yes,No,Not Started,Pip
Record corp credit card transactions,1,Access card system,Log into corporate card management system,2,No,Yes,No,Not Started,Pip
Record corp credit card transactions,2,Download transactions,Export previous day's card transactions,5,No,Yes,No,Not Started,Pip
Record corp credit card transactions,3,Code transactions,Assign proper GL codes to expenses,15,Yes,No,No,Not Started,Human
Record corp credit card transactions,4,Verify coding,Check GL code accuracy,10,Yes,No,No,Not Started,Human
Record corp credit card transactions,5,Update accounting records,Record card transactions in system,5,No,Yes,No,Not Started,Pip
Finalize operating expense journal entry,1,Compile expense data,Gather all operating expense calculations,10,No,No,No,Not Started,Pip
Finalize operating expense journal entry,2,Prepare journal entry,Draft operating expense journal entry,15,Yes,No,No,Not Started,Human
Finalize operating expense journal entry,3,Review for accuracy,Verify all amounts and account mappings,10,Yes,No,No,Not Started,Human
Finalize operating expense journal entry,4,Obtain approval,Get required approval for journal entry,5,Yes,No,No,Not Started,Human
Finalize operating expense journal entry,5,Post to general ledger,Enter approved journal entry into system,5,No,Yes,No,Not Started,Pip
Record bank transactions,1,Access bank portals,Log into all bank accounts,5,No,Yes,No,Not Started,Pip
Record bank transactions,2,Download statements,Export previous day's transactions,5,No,Yes,No,Not Started,Pip
Record bank transactions,3,Code transactions,Assign proper GL codes to transactions,15,Yes,No,No,Not Started,Human
Record bank transactions,4,Verify coding,Check GL code accuracy,10,Yes,No,No,Not Started,Human
Record bank transactions,5,Update accounting records,Record bank transactions in system,5,No,Yes,No,Not Started,Pip
Reconcile payment settlements,1,Access payment systems,Log into payment processor accounts,5,No,Yes,No,Not Started,Pip
Reconcile payment settlements,2,Download settlement reports,Export detailed settlement data,10,No,Yes,No,Not Started,Pip
Reconcile payment settlements,3,Match to bank deposits,Verify settlement amounts against bank deposits,15,Yes,No,No,Not Started,Human
Reconcile payment settlements,4,Investigate differences,Look into any settlement discrepancies,20,Yes,No,No,Not Started,Human
Reconcile payment settlements,5,Update reconciliation,Record final settlement status,5,No,Yes,No,Not Started,Pip
Account for marketplace payout timing,1,Access marketplace accounts,Log into all marketplace platforms,5,No,Yes,No,Not Started,Pip
Account for marketplace payout timing,2,Check payout schedules,Review expected payout dates,10,Yes,No,No,Not Started,Pip
Account for marketplace payout timing,3,Calculate accruals,Compute necessary timing adjustments,15,Yes,No,No,Not Started,Human
Account for marketplace payout timing,4,Verify calculations,Check accrual accuracy,10,Yes,No,No,Not Started,Human
Account for marketplace payout timing,5,Update accounting records,Record timing adjustments,5,No,Yes,No,Not Started,Pip
Track payment processor reserves,1,Access processor dashboards,Log into payment processor accounts,5,No,Yes,No,Not Started,Pip
Track payment processor reserves,2,Download reserve reports,Export current reserve status,5,No,Yes,No,Not Started,Pip
Track payment processor reserves,3,Analyze reserve levels,Review reserve adequacy,15,Yes,No,No,Not Started,Human
Track payment processor reserves,4,Document findings,Record reserve analysis results,10,Yes,No,No,Not Started,Human
Track payment processor reserves,5,Update tracking system,Record reserve status in system,5,No,Yes,No,Not Started,Pip
Update cash flow forecast,1,Access forecast model,Open cash flow forecasting tool,2,No,Yes,No,Not Started,Pip
Update cash flow forecast,2,Input daily data,Enter previous day's actuals,10,No,No,No,Not Started,Human
Update cash flow forecast,3,Adjust projections,Update future period forecasts,15,Yes,No,No,Not Started,Human
Update cash flow forecast,4,Review changes,Verify forecast adjustments,10,Yes,No,No,Not Started,Human
Update cash flow forecast,5,Save forecast,Record updated forecast in system,5,No,Yes,No,Not Started,Pip
Reconcile petty cash,1,Access petty cash log,Open petty cash tracking system,2,No,Yes,No,Not Started,Pip
Reconcile petty cash,2,Review transactions,Check all petty cash transactions,15,Yes,No,No,Not Started,Human
Reconcile petty cash,3,Verify receipts,Confirm all expenses are properly documented,10,Yes,No,No,Not Started,Human
Reconcile petty cash,4,Calculate balance,Compute current petty cash balance,5,Yes,No,No,Not Started,Human
Reconcile petty cash,5,Update records,Record petty cash reconciliation,5,No,Yes,No,Not Started,Pip
Convert foreign currency transactions,1,Access FX rates,Get current exchange rates,2,No,Yes,No,Not Started,Pip
Convert foreign currency transactions,2,Identify FX transactions,Locate all foreign currency items,5,Yes,No,No,Not Started,Human
Convert foreign currency transactions,3,Apply rates,Convert amounts using appropriate rates,10,Yes,No,No,Not Started,Human
Convert foreign currency transactions,4,Verify conversions,Check conversion accuracy,10,Yes,No,No,Not Started,Human
Convert foreign currency transactions,5,Update accounting records,Record converted amounts in system,5,No,Yes,No,Not Started,Pip
Verify bank categorizations,1,Access bank feed,Open bank transaction feed,2,No,Yes,No,Not Started,Pip
Verify bank categorizations,2,Review categorizations,Check GL code assignments,15,Yes,No,No,Not Started,Human
Verify bank categorizations,3,Make corrections,Update incorrect categorizations,10,Yes,No,No,Not Started,Human
Verify bank categorizations,4,Document changes,Record categorization updates,5,Yes,No,No,Not Started,Human
Verify bank categorizations,5,Update system,Save corrected categorizations,5,No,Yes,No,Not Started,Pip
Update cash position dashboard,1,Access dashboard,Open cash position reporting tool,2,No,Yes,No,Not Started,Pip
Update cash position dashboard,2,Gather cash data,Collect all cash-related information,10,No,No,No,Not Started,Human
Update cash position dashboard,3,Update metrics,Refresh all cash position metrics,15,Yes,No,No,Not Started,Human
Update cash position dashboard,4,Verify accuracy,Check metric calculations,10,Yes,No,No,Not Started,Human
Update cash position dashboard,5,Save dashboard,Record updated cash position,5,No,Yes,No,Not Started,Pip
Finalize cash journal entry,1,Compile cash data,Gather all cash-related calculations,10,No,No,No,Not Started,Pip
Finalize cash journal entry,2,Prepare journal entry,Draft cash journal entry,15,Yes,No,No,Not Started,Human
Finalize cash journal entry,3,Review for accuracy,Verify all amounts and account mappings,10,Yes,No,No,Not Started,Human
Finalize cash journal entry,4,Obtain approval,Get required approval for journal entry,5,Yes,No,No,Not Started,Human
Finalize cash journal entry,5,Post to general ledger,Enter approved journal entry into system,5,No,Yes,No,Not Started,Pip
Update accounts receivable aging,1,Access AR system,Log into accounts receivable system,2,No,Yes,No,Not Started,Pip
Update accounts receivable aging,2,Download aging report,Export current AR aging data,5,No,Yes,No,Not Started,Pip
Update accounts receivable aging,3,Review aging,Analyze aging categories and trends,15,Yes,No,No,Not Started,Human
Update accounts receivable aging,4,Document findings,Record aging analysis results,10,Yes,No,No,Not Started,Human
Update accounts receivable aging,5,Update system,Record aging status in system,5,No,Yes,No,Not Started,Pip
Process aged receivables,1,Access collection system,Open collections management tool,2,No,Yes,No,Not Started,Pip
Process aged receivables,2,Review overdue accounts,Check status of overdue receivables,15,Yes,No,No,Not Started,Human
Process aged receivables,3,Update collection status,Record collection efforts and results,10,Yes,No,No,Not Started,Human
Process aged receivables,4,Document actions,Record collection actions taken,5,Yes,No,No,Not Started,Human
Process aged receivables,5,Update accounting records,Record collection updates in system,5,No,Yes,No,Not Started,Pip
Reconcile accounts payable,1,Access AP system,Log into accounts payable system,2,No,Yes,No,Not Started,Pip
Reconcile accounts payable,2,Download AP report,Export current AP status,5,No,Yes,No,Not Started,Pip
Reconcile accounts payable,3,Match to statements,Verify against vendor statements,15,Yes,No,No,Not Started,Human
Reconcile accounts payable,4,Investigate differences,Look into any AP discrepancies,20,Yes,No,No,Not Started,Human
Reconcile accounts payable,5,Update reconciliation,Record final AP status,5,No,Yes,No,Not Started,Pip
Calculate daily depreciation,1,Access fixed asset system,Open fixed asset management tool,2,No,Yes,No,Not Started,Pip
Calculate daily depreciation,2,Review asset list,Check all depreciable assets,10,Yes,No,No,Not Started,Human
Calculate daily depreciation,3,Compute depreciation,Calculate daily depreciation expense,15,Yes,No,No,Not Started,Human
Calculate daily depreciation,4,Verify calculations,Check depreciation accuracy,10,Yes,No,No,Not Started,Human
Calculate daily depreciation,5,Update accounting records,Record depreciation in system,5,No,Yes,No,Not Started,Pip
Update lease liability calculations,1,Access lease system,Open lease management tool,2,No,Yes,No,Not Started,Pip
Update lease liability calculations,2,Review lease terms,Check all active lease agreements,15,Yes,No,No,Not Started,Human
Update lease liability calculations,3,Calculate liability,Compute current lease liability,15,Yes,No,No,Not Started,Human
Update lease liability calculations,4,Verify calculations,Check liability accuracy,10,Yes,No,No,Not Started,Human
Update lease liability calculations,5,Update accounting records,Record lease liability in system,5,No,Yes,No,Not Started,Pip
Recognize deferred revenue,1,Access revenue system,Open revenue recognition tool,2,No,Yes,No,Not Started,Pip
Recognize deferred revenue,2,Review contracts,Check all revenue contracts,15,Yes,No,No,Not Started,Human
Recognize deferred revenue,3,Calculate recognition,Compute daily revenue recognition,15,Yes,No,No,Not Started,Human
Recognize deferred revenue,4,Verify calculations,Check recognition accuracy,10,Yes,No,No,Not Started,Human
Recognize deferred revenue,5,Update accounting records,Record revenue recognition in system,5,No,Yes,No,Not Started,Pip
Track store credit liability,1,Access credit system,Open store credit management tool,2,No,Yes,No,Not Started,Pip
Track store credit liability,2,Download activity,Export store credit transactions,5,No,Yes,No,Not Started,Human
Track store credit liability,3,Analyze usage,Review credit usage patterns,15,Yes,No,No,Not Started,Human
Track store credit liability,4,Calculate liability,Determine current credit liability,10,Yes,No,No,Not Started,Human
Track store credit liability,5,Update accounting records,Record credit liability in system,5,No,Yes,No,Not Started,Pip
Track gift card liability,1,Access gift card system,Open gift card management tool,2,No,Yes,No,Not Started,Pip
Track gift card liability,2,Download activity,Export gift card transactions,5,No,Yes,No,Not Started,Human
Track gift card liability,3,Calculate breakage,Estimate gift card breakage,15,Yes,No,No,Not Started,Human
Track gift card liability,4,Determine liability,Compute current gift card liability,10,Yes,No,No,Not Started,Human
Track gift card liability,5,Update accounting records,Record gift card liability in system,5,No,Yes,No,Not Started,Pip
Update loyalty program liability,1,Access loyalty system,Open loyalty program management tool,2,No,Yes,No,Not Started,Pip
Update loyalty program liability,2,Download activity,Export loyalty point transactions,5,No,Yes,No,Not Started,Human
Update loyalty program liability,3,Analyze redemption,Review point redemption patterns,15,Yes,No,No,Not Started,Human
Update loyalty program liability,4,Calculate liability,Determine current loyalty liability,10,Yes,No,No,Not Started,Human
Update loyalty program liability,5,Update accounting records,Record loyalty liability in system,5,No,Yes,No,Not Started,Pip
Record fixed asset additions,1,Access fixed asset system,Open fixed asset management tool,2,No,Yes,No,Not Started,Pip
Record fixed asset additions,2,Review additions,Check all new fixed asset documentation,15,Yes,No,No,Not Started,Human
Record fixed asset additions,3,Verify capitalization,Confirm proper capitalization criteria,10,Yes,No,No,Not Started,Human
Record fixed asset additions,4,Calculate depreciation,Determine initial depreciation schedule,15,Yes,No,No,Not Started,Human
Record fixed asset additions,5,Update accounting records,Record new fixed assets in system,5,No,Yes,No,Not Started,Pip
Finalize balance sheet journal entry,1,Compile balance sheet data,Gather all balance sheet calculations,10,No,No,No,Not Started,Pip
Finalize balance sheet journal entry,2,Prepare journal entry,Draft balance sheet journal entry,15,Yes,No,No,Not Started,Human
Finalize balance sheet journal entry,3,Review for accuracy,Verify all amounts and account mappings,10,Yes,No,No,Not Started,Human
Finalize balance sheet journal entry,4,Obtain approval,Get required approval for journal entry,5,Yes,No,No,Not Started,Human
Finalize balance sheet journal entry,5,Post to general ledger,Enter approved journal entry into system,5,No,Yes,No,Not Started,Pip
Calculate key metrics,1,Access analytics system,Open business analytics platform,2,No,Yes,No,Not Started,Pip
Calculate key metrics,2,Gather raw data,Collect all required metric inputs,10,No,No,No,Not Started,Human
Calculate key metrics,3,Compute metrics,Calculate all key performance indicators,15,Yes,No,No,Not Started,Human
Calculate key metrics,4,Verify calculations,Check metric accuracy,10,Yes,No,No,Not Started,Human
Calculate key metrics,5,Update dashboard,Record metrics in reporting system,5,No,Yes,No,Not Started,Pip
Update customer acquisition cost,1,Access marketing systems,Log into marketing platforms,5,No,Yes,No,Not Started,Pip
Update customer acquisition cost,2,Download spend data,Export marketing spend by channel,10,No,Yes,No,Not Started,Pip
Update customer acquisition cost,3,Calculate CAC,Compute cost per acquisition by channel,15,Yes,No,No,Not Started,Human
Update customer acquisition cost,4,Verify calculations,Check CAC accuracy,10,Yes,No,No,Not Started,Human
Update customer acquisition cost,5,Update reporting,Record CAC metrics in system,5,No,Yes,No,Not Started,Pip
Refresh customer lifetime value,1,Access customer data,Open customer analytics platform,2,No,Yes,No,Not Started,Pip
