Expense ID,Date,Vendor,Category,Subcategory,Description,Amount,Payment Method,Payment Status,GL Account,Department,Project,Fixed/Variable,Recurring,Frequency,Notes,Receipt ID,Approver,Cost Center
EXP-2024-0415,2024-04-08,Hilton Hotels,Travel,Lodging,Hotel for supplier meeting,425.62,Credit Card,Paid,6630,Management,MGMT-2024,Variable,No,As Needed,2 nights accommodation,RCPT-4015,James White,MGMT
EXP-2024-0416,2024-04-10,GlobalThreads,Inventory,Apparel,Apparel inventory purchase,7852.36,Wire Transfer,Paid,5010,Inventory,INV-2024,Variable,No,As Needed,T-shirts and jeans restock,RCPT-4016,John Anderson,INV
EXP-2024-0417,2024-04-11,TechGlobal,Inventory,Electronics,Electronics inventory purchase,12580.25,Wire Transfer,Paid,5010,Inventory,INV-2024,Variable,No,As Needed,Headphones and smart watches,RCPT-4017,David Martinez,INV
EXP-2024-0418,2024-04-12,BeautyEssentials,Inventory,Beauty Products,Beauty products inventory purchase,3485.75,ACH,Paid,5010,Inventory,INV-2024,Variable,No,As Needed,Cosmetics and skin care products,RCPT-4018,David Martinez,INV
EXP-2024-0419,2024-04-12,FedEx,Shipping,Package Delivery,Monthly shipping service,2354.87,ACH,Paid,6510,Operations,OPS-2024,Variable,Yes,Monthly,Bulk shipping services,RCPT-4019,William Miller,OPER
EXP-2024-0420,2024-04-14,The UPS Store,Shipping,Returns,Customer return shipping,178.45,Credit Card,Paid,6510,Operations,OPS-2024,Variable,No,As Needed,Return label printing and processing,RCPT-4020,William Miller,OPER
EXP-2024-0421,2024-04-15,Payroll,Personnel,Salaries & Wages,Bi-weekly payroll - April 15,32754.82,ACH,Paid,6010,All Departments,OPS-2024,Fixed,Yes,Bi-weekly,Salaries and hourly wages,RCPT-4021,James White,ALL
EXP-2024-0422,2024-04-16,Smith & Associates CPA,Professional Services,Accounting,Monthly accounting services,850.00,Check,Paid,6710,Finance,FIN-2024,Fixed,Yes,Monthly,Bookkeeping and financial reporting,RCPT-4022,James White,FIN
EXP-2024-0423,2024-04-17,First National Bank,Finance,Loan Payment,Business loan payment - April 2024,3475.00,ACH,Paid,6820,Finance,FIN-2024,Fixed,Yes,Monthly,Business expansion loan payment,RCPT-4023,James White,FIN
EXP-2024-0424,2024-04-18,Costco Wholesale,Office Supplies,Break Room,Break room supplies and snacks,152.36,Credit Card,Paid,6310,Administration,OPS-2024,Variable,No,As Needed,Employee break room supplies,RCPT-4024,Michelle Thompson,ADMIN
EXP-2024-0425,2024-04-19,Payment Processors,Finance,Merchant Fees,Payment processing fees,978.45,ACH,Paid,6120,Finance,FIN-2024,Variable,Yes,Monthly,Credit card processing fees,RCPT-4025,James White,FIN
EXP-2024-0426,2024-04-20,HomeStyles,Inventory,Home Goods,Home decor inventory purchase,4387.65,ACH,Paid,5010,Inventory,INV-2024,Variable,No,As Needed,Throw pillows and wall art restock,RCPT-4026,David Martinez,INV
EXP-2024-0427,2024-04-21,LuxAccessories,Inventory,Accessories,Jewelry and accessories inventory purchase,6782.45,Wire Transfer,Paid,5010,Inventory,INV-2024,Variable,No,As Needed,Necklaces and handbags restock,RCPT-4027,David Martinez,INV
EXP-2024-0428,2024-04-22,Best Buy,Office Equipment,Computers,New computer for graphic designer,879.99,Credit Card,Paid,6320,Technology,TECH-2024,Fixed,No,As Needed,Replacement computer for designer,RCPT-4028,Daniel Wilson,TECH
EXP-2024-0429,2024-04-23,Digital Marketing Partners,Marketing,Agency Fees,Monthly marketing retainer,3850.00,ACH,Paid,6510,Marketing,MKT-2024,Fixed,Yes,Monthly,Marketing agency services,RCPT-4029,Sarah Williams,MKT
EXP-2024-0430,2024-04-24,Johnson & Johnson Legal,Professional Services,Legal,Legal consultation,750.00,Check,Paid,6720,Administration,OPS-2024,Variable,No,As Needed,Contract review and legal advice,RCPT-4030,James White,ADMIN
EXP-2024-0431,2024-04-24,USPS,Shipping,Postage,Postage for small packages,55.00,Credit Card,Paid,6510,Operations,OPS-2024,Variable,No,As Needed,Stamps and postage,RCPT-4031,William Miller,OPER
EXP-2024-0432,2024-04-26,State Department of Revenue,Taxes,Sales Tax,Monthly sales tax payment,7845.36,ACH,Paid,6170,Finance,FIN-2024,Variable,Yes,Monthly,State sales tax remittance,RCPT-4032,James White,FIN
EXP-2024-0433,2024-04-27,UPS,Shipping,Package Delivery,UPS shipping charges,1854.72,ACH,Paid,6510,Operations,OPS-2024,Variable,No,As Needed,Heavy item shipping services,RCPT-4033,William Miller,OPER
EXP-2024-0434,2024-04-30,Facility Maintenance Services,Facilities,Maintenance,Warehouse maintenance,485.00,Check,Paid,6240,Operations,OPS-2024,Variable,No,As Needed,Shelving repairs and light replacement,RCPT-4034,John Anderson,OPER
EXP-2024-0435,2024-04-01,Shopify,Software & Services,E-commerce Platform,Monthly subscription - April 2024,89.00,Credit Card,Paid,6330,Technology,TECH-2024,Fixed,Yes,Monthly,Standard Shopify plan,RCPT-4035,Sarah Williams,TECH
EXP-2024-0436,2024-04-02,Adobe,Software & Services,Design Software,Creative Cloud subscription - April 2024,52.99,Credit Card,Paid,6330,Marketing,MKT-2024,Fixed,Yes,Monthly,Design software for marketing team,RCPT-4036,Lisa Chen,MKT
EXP-2024-0437,2024-04-03,Google,Marketing,Digital Advertising,Monthly ad spend - April 2024,1250.00,Credit Card,Paid,6530,Marketing,MKT-2024,Variable,Yes,Monthly,Google Ads campaign,RCPT-4037,Sarah Williams,MKT
EXP-2024-0438,2024-04-05,Facebook,Marketing,Social Media Advertising,Social media ads - April 2024,875.30,Credit Card,Paid,6530,Marketing,MKT-2024,Variable,Yes,Monthly,Facebook and Instagram advertising,RCPT-4038,Lisa Chen,MKT
EXP-2024-0439,2024-04-07,Mailchimp,Software & Services,Email Marketing,Email marketing platform - April 2024,79.99,Credit Card,Paid,6330,Marketing,MKT-2024,Fixed,Yes,Monthly,Email marketing service,RCPT-4039,Emily Garcia,MKT
EXP-2024-0440,2024-04-09,ShipStation,Software & Services,Shipping Management,Shipping software - April 2024,49.99,Credit Card,Paid,6330,Operations,OPS-2024,Fixed,Yes,Monthly,Shipping management platform,RCPT-4040,David Martinez,OPER
